,text
36,"nato officials, industry meet on cyberattack challenge http://ow.ly/gb13504ipx7 "
37,cyberwar and popcorn: 'zero days' movie stokes legitimate fears http://ow.ly/svbg504ihdc 
38,there's still time to sign up for the defense news top 100 webcast! register now: http://ow.ly/kt3z3041ejf 
39,armed man who approached white house pleads to federal charge http://ow.ly/wjjo504gfjy 
40,oversight report goes behind scenes of opm hack http://ow.ly/a74q504grle 
41,today is the last day to get your cybercon 2016 ticket at the industry early bird price of $199! register here: http://ow.ly/igvc303yvey 
42,fedramp hosts 34 agencies at roundtable http://ow.ly/vkes504eflv 
43,#cybercon2016 industry early bird pricing has been extended until 9/7! don't miss this deal! get your tickets now: http://ow.ly/57qo303qbi1 
44,an argument for putting the cloud above the clouds http://ow.ly/gikt5046kx5 
45,guccifer gets 52 months for hacking us officials http://ow.ly/qhwk5044woc 
46,clinton promises response to cyberattacks; illinois notifies voters of hackhttp://ow.ly/reqr5044ijn 
47,"sec whistleblower program pays $22m award, celebrates 5 years success http://ow.ly/xwnf5044zcp "
48,‘deception committee’ conducting classified study on russian hacks http://ow.ly/djsq5042ohq 
49,fbi wants 'adult conversation' on encryption http://ow.ly/nijo50408j7 
50,fedramp surveys users on vendor prioritization http://ow.ly/wig850401ty 
51,kremlin-backed hackers target russia-focused think tanks http://ow.ly/4woi503zsjo 
52,industry early bird pricing for #cybercon2016 ends tomorrow! get your tickets now: http://ow.ly/8vl1303ipv0 
53,5 agency takeaways from clinton’s mental health plan http://ow.ly/gqoy503y1uj 
54,"known unknowns of cybersecurity talent shortfall, part 1 http://ow.ly/gxbm503xr8h "
55,russian hacker convicted of multimillion dollar fraud scheme http://ow.ly/ygjh503xbko 
56,dhs wants to bring more foreign entrepreneurs to us http://ow.ly/8loc503xrzl 
57,former cybercop gives administration d- on cybersecurity http://ow.ly/vq8f503solr 
58,fbi names new science and tech lead http://ow.ly/sdo6503qspb 
59,low 2017 cola worse than none at all http://ow.ly/l1pk503qmy3 
60,gsa inspector general looking for it team lead http://ow.ly/qyt8503qfm5 
61,feds want to ban swimming with hawaii dolphins http://ow.ly/xj9d503qi43 
62,dol drops final guidance on contractor compliance http://ow.ly/arpg503omyw 
63,official: fbi probing attempted cyber breach of ny times http://ow.ly/etlk503nrqh 
64,4 takeaways from gsa’s shared services day http://ow.ly/o4pf503m1uy 
65,incumbent vendors and it modernization: help or hindrance? http://ow.ly/gclc503ltq9 
66,cybercon update: we are excited to announce raj shah  as a keynote speaker for #cybercon2016! register here: http://ow.ly/vq47303pmwi 
67,"the new http://federaltimes.com  is launching... now! today, you may see errors or blank pages. all will be working soon. thank you!"
68,final draft of proactive cyber sin delayed http://fedtim.es/kzbh503xy19 
69,new sba website simplifies certification process http://fedtim.es/jntj503xnee 
70,employee groups decry reform bill headed to house http://fedtim.es/j9m05028zgo 
71,"alert: feds must patch symantec, norton antivirus tools now http://fedtim.es/fwdf5028cct "
72,omb: only one option for breach response contracts http://fedtim.es/nugd5027vlc 
73,"congress' shrinking calendar suggests omnibus, cr ahead http://fedtim.es/2phe5027ljz "
74,overhaul of background check system could lean on predictive analysis http://fedtim.es/irij5027mme 
75,advocate for your security programs and avoid being comic relief http://fedtim.es/padc50268en 
76,iarpa puts up $100k for 3-d satellite mapping solution http://fedtim.es/rgqf5025c1q 
77,congress must tackle key defense bills before summer break http://fedtim.es/v4hz5025kc0 
78,how agile development aids fitara compliance http://fedtim.es/uopy501yjtk 
79,epa cio on embracing agile development http://fedtim.es/9ioe501ydhv 
80,lynch: career prosecutors will make clinton investigation call http://fedtim.es/fy6o501yoam 
81,official: ag will accept prosecutors' call on clinton case http://fedtim.es/gfg2501y2jx 
82,senate confirms new navy fleet cyber commander http://fedtim.es/nwef501wzah 
83,johnson talks airport security ahead of holiday weekend http://fedtim.es/schm501wsrz 
84,security forces inspection sparked shooter scare at andrews http://fedtim.es/mj6h501wcs7 
85,"va crisis line director resigns, text messages go unanswered http://fedtim.es/wxux501vwbb "
86,what a phishing attack in india means for the us http://fedtim.es/njdy501u9xo 
87,holocaust museum needs vendor to manage cybersecurity http://fedtim.es/rdel501tnxl 
88,clinton's tech agenda wants ‘more innovative’ government http://fedtim.es/ihdx501tgkj 
89,"u.s. may screen foreign travelers' facebook, twitter accounts http://fedtim.es/j9lo501tpwa "
90,a 5-part road map for moving off the high risk list http://fedtim.es/yocq501rxl6 
91,"doj adds implicit bias training for 28,000 employees http://fedtim.es/1xcw501rhfr "
92,coast guard academy sets record for female enrollment http://fedtim.es/rsfc501qzg8 
93,gsa drops final rfps for $50b alliant 2 contracts http://fedtim.es/erqe501p1sj 
94,how a 4-year plan for a gsa building swap went up in smoke http://fedtim.es/eobf501osgp 
95,commentary: fedramp high a turning point in federal cloud adoption http://fedtim.es/xt10501jmh6 
96,fedramp high a turning point in federal cloud adoption http://fedtim.es/v4is501jhxj 
97,chrousos explains why gsa's new line needs a new commissioner http://fedtim.es/mhwy501jykf 
98,dod contracting official pleaded guilty in ‘fat leonard’ scandal http://fedtim.es/iffq501jlpp 
99,agencies need cyber risk strategies for modern adversaries http://fedtim.es/kg1f501iyrv 
100,ethical hacking at the dod draws interest from hhs http://fedtim.es/tfl2501hiaq 
101,gsa’s newest commissioner leaving office http://fedtim.es/tce5501hvjp 
102,durkovich: the homeland is now the battlefield http://fedtim.es/th4f501hfib 
103,senators push to advance sweeping veterans bill before july 4 http://fedtim.es/6ole501h83q 
104,clinton server led to security problems for state it systems http://fedtim.es/nvk9501gzfg 
105,fedramp finalizes controls for highly sensitive data in the cloud http://fedtim.es/4lwl501gibx 
106,
107,federal election commission: market focus by deltek http://fedtim.es/hab0501f5dx 
108,vendors could save millions with new gsa reporting requirement http://fedtim.es/ypdo501eoou 
109,lawmakers set to reconcile defense policy bills http://fedtim.es/kq46501eqjw 
110,dhs to accept video proposals http://fedtim.es/dtzz501cxmv 
111,va leaders defend decision to cease fast-track firings for rule breakers http://fedtim.es/lyqi501c7bs 
112,inside the pentagon's secretive preparations for a 'cyber 9/11' http://fedtim.es/bi1w501bwsc 
113,"vha needs to fix its inventory management, here’s 10 ways it can http://fedtim.es/ulsh501adxo "
114,"secret service needs 'cyber triage' tools, fast http://fedtim.es/n6fi501a6lm "
115,pentagon lifts hiring freeze http://fedtim.es/i5ia501zzvt 
116,successful strategies for making technology accessible to the disabled [free whitepaper http://ow.ly/anfc301rvwe ]pic.twitter.com/h1w1jmjrfs
117,rediscover the soul of government http://fedtim.es/vuvh501zo8f 
118,hhs ups its efforts to foster interoperability http://fedtim.es/i4gd501z7vj 
119,petition calls for keeping tony scott in next administration http://fedtim.es/vix9501us5r 
120,how to build a better va http://fedtim.es/efvj501ua2f 
121,the challenge of interoperability http://fedtim.es/qfuz501urbi 
122,omb contempt vote looms in oversight panel despite document release http://fedtim.es/dd2a501sqo3 
123,icebreaker debate leads to chilly coast guard hearing http://fedtim.es/wbiv501q7pa 
124,is your heartbeat your new cac? http://fedtim.es/cxrh501q1s3 
125,chinese developer charged in theft of ibm source code http://fedtim.es/oblp501pulk 
126,dhs cyber role elevated in new legislation http://fedtim.es/sqxd501pnis 
127,"air force says 100,000 corrupted ig reports can be recovered http://fedtim.es/skvb501pefr "
128,"recoverable? 100,000 air force inspector general reports in limbo after systemwide crash http://fedtim.es/vpwf501pway "
129,former judge pleaded guilty to retaliating against informant http://fedtim.es/4fnx501newq 
130,"senate approves defense policy bill, baiting veto http://fedtim.es/wiof501njpc "
131,new spear-phishing campaign targeting us officials http://fedtim.es/alep501name 
132,implement black swan modeling to avoid government catastrophes http://fedtim.es/gcom501n2x8 
133,senators launch bipartisan cybersecurity caucus http://fedtim.es/rojp501mvn9 
134,"clinton, trump react to orlando shooting with national security plans http://fedtim.es/cvjo501ld61 "
135,hhs memo shows that agencies should be ready to work with cuba http://fedtim.es/wdk6501kzd0 
136,hhs mou shows that agencies should be ready to work with cuba http://fedtim.es/av56501ks2x 
137,at long last: the final rule on safeguarding of contractor information systems http://fedtim.es/r6bd501ksqx 
138,gsa releases new smartpay purchase card rfp http://fedtim.es/y079501khjw 
139,two dea officials convicted of lying about strip club ownership http://fedtim.es/cma9501fu46 
140,"crs are the new normal for acquisition, survey experts say http://fedtim.es/8mqf501fhiq "
141,"congress: digital service, 18f need to innovate within bounds http://fedtim.es/vmgl501f2nn "
142,senators say cobert nomination should move forward http://fedtim.es/zipp501ee45 
143,4 takeaways from carter's push for military personnel reform http://fedtim.es/yfkg501evzi 
144,gsa updates draft rfp for schedule 70 health it sin http://fedtim.es/sqvh501d9tg 
145,va fires phoenix execs after 2 years of investigations http://fedtim.es/jfqo501cwsn 
146,ig: irs behind on notifying taxpayers affected by get transcript breach http://fedtim.es/xqje501cfnv 
147,"last chance: help us honor federal programs, executives & unsung heroes #vanguardawards http://ow.ly/tqfx300retn pic.twitter.com/8rk4mi64yy"
148,pentagon reassigns official for parking caper http://fedtim.es/vtcr501c8zw 
149,democrats offer domestic match for proposed defense hike http://fedtim.es/ygqx501airx 
150,"bill to rename, elevate dhs cyber office moves to full house http://fedtim.es/ru0q501aat7 "
151,"ends tomorrow: help us honor federal programs, executives & unsung heroes #vanguardawards http://ow.ly/tqfx300retn pic.twitter.com/5liagywiru"
152,oig: former u.s. attorney tried to impede investigation into affair http://fedtim.es/4olm501ablk 
153,is a dumbed-down power grid the answer to cyberattacks? http://fedtim.es/ykvr501a3k3 
154,3 takeaways from tsa’s senate committee hearing http://fedtim.es/vpdu5018dyd 
155,irs upgrades app security a year after major breach http://fedtim.es/p1cy501871j 
156,help us recognize innovators! nominate a govt employee who dared to take risks & try something new! #vanguardawards http://bit.ly/vanguardawards 
157,iarpa exploring deceptive cyber defenses http://fedtim.es/u4ya501800c 
158,top 20 government contractors http://fedtim.es/7rwr5017pbr 
159,"without agility, no plan is good enough to prevent insider threats http://fedtim.es/dcrs5017p5f "
160,census gets new cio from patent office http://fedtim.es/cgmh5015vep 
161,long-awaited $50b alliant rfps on the way http://fedtim.es/edf85015cx3 
162,"we're looking for feds who implement change not for regulation sake, but for potential of return #vanguardawards http://bit.ly/vanguardawards "
163,interior releasing $10m remote access rfp next week http://fedtim.es/s4ik5014wm6 
164,oig: uscis stopped hsi from detaining san bernardino suspect http://fedtim.es/lwza5014mhz 
165,agencies can't succeed w/o talented employees. help us spotlight unsung feds #vanguardawards http://ow.ly/tqfx300retn pic.twitter.com/cxkc8tiqcv
166,know an exec who demonstrates leadership that drives change? nominate them #vanguardawards http://ow.ly/tqfx300retn pic.twitter.com/0zo0xsinhr
167,new rule would let va provide sex reassignment surgery to transgender vets http://fedtim.es/ime7500zu5f 
168,oig: ice stopped hsi from detaining san bernardino suspect http://fedtim.es/yusg500zy44 
169,sec appoints senior adviser on cyber policy http://fedtim.es/ou6e500zqn8 
170,1 week left: #vanguardawards to honor big thinkers in acquisition & technology http://fedtim.es/8jsfpm pic.twitter.com/wmcknzqyca
171,nato weighs making cyber wartime domain http://fedtim.es/cn5v500zhbt 
172,organizing your investment portfolio http://fedtim.es/tpss500xxov 
173,leveraging private-sector resources for the public good http://fedtim.es/vm8x500xrbx 
174,nominations extended: you have more chance to nominate a program/employee #vanguardawards! http://ow.ly/kblt300rbj4 pic.twitter.com/dwqqfoiig5
175,va ciso stepping down but not stepping out http://fedtim.es/fdkd500x8vr 
176,opm begins search for permanent cio http://fedtim.es/ym8c500x1j9 
177,researchers find odd malware targeting industrial controls http://fedtim.es/d1rk500wk1d 
178,7 highlights from the gsa oig’s semiannual report http://fedtim.es/hyrb500ut6k 
179,report: fed hacked 50 times in four years http://fedtim.es/o1wk500uiyg 
180,why agencies need to get to the source (of the source code) http://fedtim.es/j8d2500uag5 
181,deloitte pays $11m to settle false claims allegation http://fedtim.es/slnp500us8u 
182,cms needs 'awesomely connected' entrepreneur for medicaid it marketplace http://fedtim.es/nlk8500slip 
183,"3 navy officers charged in bribery, fraud scheme http://fedtim.es/adyc500rsel "
184,digital customer service — an oxymoron? http://fedtim.es/h1tr500rjgn 
185,digital customer service — an oxymoron? http://fedtim.es/hphl500rssn 
186,deadline extended: vanguard awards to honor big thinkers in acquisition and technology http://fedtim.es/4wni500r6lz 
187,ends today: help us recognize the big thinkers in acquisition & technology! #vanguardawards http://bit.ly/vanguardawards pic.twitter.com/x1fwpfdhua
188,ends tomorrow: help us recognize innovators! #vanguardawards http://bit.ly/vanguardawards pic.twitter.com/7l4uvcohuc
189,group claims to hack nsa hackers http://fedtim.es/bzup503uwpu 
190,pokeman banned from dod phones http://fedtim.es/bipd503ujde 
191,new guide shows agencies how to assess it maturity http://fedtim.es/inlj503uzcc 
192,micropurchase auctions: is 18f getting big value on small buys? http://fedtim.es/ipmc503tw4u 
193,gsa updates per diem rates for 2017 http://fedtim.es/jo3s503phth 
194,dnc creates cyber advisory board in wake of hack http://fedtim.es/qyyj503p9ut 
195,irs adds 6 months to access management contract http://fedtim.es/c76t503p2rj 
196,washington becomes national coordinator for health it http://fedtim.es/ydvd503oun3 
197,pattern disruption is the best way to combat cyberattacks http://fedtim.es/3kjz503of1n 
198,state approves first nato joint weapons sale http://fedtim.es/rpmr503ng4v 
199,fed who faked cancer agrees to repay $40k in sick leave http://fedtim.es/b9hr503n6kc 
200,va and domino theory redux http://fedtim.es/dgef503mmrw 
201,australian online census shut down by cyberattacks http://fedtim.es/pp6b503km42 
202,info-sharing hurdles hinder alliance partnerships http://fedtim.es/us42503kgwc 
203,texan gets 2 years for role in irs breach http://fedtim.es/fmap503kqz7 
204,"nga's homeland panel to benefit from hutchinson’s experience, leadership http://fedtim.es/azcy503kahw "
205,misconceptions of devops in govit http://fedtim.es/dg7p503jtgz 
206,fedramp opens pre-audit process for security authorizations http://fedtim.es/wrtd503ifcs 
207,"energy needs better data, digital rights management http://fedtim.es/2til503iype "
208,opm gets new cio from dod http://fedtim.es/wnhz503iipo 
209,obama administration can secure another win for data privacy http://fedtim.es/drbx503hngu 
210,brexit: an exercise in project management http://fedtim.es/umfl503gooa 
211,final policy requires feds to publicly release 20 percent of code http://fedtim.es/hkgv503ghrn 
212,risky business: risk aversion impedes it modernization http://fedtim.es/pxnk503fmrm 
213,opm begins data call for special pay grades http://fedtim.es/3ng0503b3d4 
214,opm lays out timeline for id’ing cybersecurity workforce http://fedtim.es/eksk503acci 
215,obama adviser says cyberthreat response rests on private sector cooperation http://fedtim.es/vnh0503a7pn 
216,disabled vets to get new leave benefit http://fedtim.es/ysjn5038cx2 
217,what does ctiic actually do? http://fedtim.es/g2xh5038eiv 
218,commentary: preparing the next president for the worst http://fedtim.es/jwto50387yj 
219,long-term care insurance: what to do? http://fedtim.es/nwnl5037qah 
220,gsa unveils playbook for legacy it migration http://fedtim.es/mhcp5036rjk 
221,napa president blair set to retire http://fedtim.es/bjiy5036lnr 
222,hixson talks new strategic plan for professional services http://fedtim.es/ksfo5035y98 
223,3 takeaways from fas’s category management panel http://fedtim.es/utdb5033trf 
224,register now! http://fedtim.es/scgw5033fp0 
225,cia official: stop treating it as a service http://fedtim.es/21zg5033qgb 
226,what the intel community can teach opm on hiring cyber pros http://fedtim.es/8bdg503386z 
227,congressional pressure building from fltcip fallout http://fedtim.es/634u5032smy 
228,clinical job losses on the rise at vha http://fedtim.es/nxcg5031clk 
229,"trump, clinton transition teams move into gsa http://fedtim.es/f7gc5030mfw "
230,"federal times takes gold, silver and more at azbee awards with “50 years"" campaign. read more: http://fedtim.es/gw7g302wair "
231,robocall ruling reversal sought by advocacy groups http://fedtim.es/muba502w3uq 
232,gsa releases new payroll management rfi http://fedtim.es/urtp502vy9l 
233,risk management playbook for circular a-123 rolls out http://fedtim.es/xvpq502vbgl 
234,computers hacked at democrats' house campaign committee http://fedtim.es/zfmk502vupz 
235,"gsa: feds can be reimbursed for uber, lyft - federal employees traveling for business can get their uber of lyf... http://fedtim.es/6qmd502tiit "
236,isis goes on the defensive in cyber - the efforts against isis in cyberspace have forced the group to adjust to... http://fedtim.es/fnfd502taux 
237,air force awards contract for deceptive cyber research - the air force awarded a contract for research in decep... http://fedtim.es/qrak502t2yd 
238,terror watch list criteria questioned - sen. ron johnson wants to know why orlando terrorist omar mateen was re... http://fedtim.es/zvrr502ruqe 
239,white house issues cyber response policy [developing] - presidential policy directive 41 lays out how agencies ... http://fedtim.es/5fjn502rtt4 
240,lawmakers ask white house to release internal cybersecurity review http://fedtim.es/mnts502rnkn 
241,doj sues credit union for repossessing servicemembers’ cars - a michigan-based credit union who repossessed an ... http://fedtim.es/t9mg502rgcf 
242,probationary periods: use it or lose it http://fedtim.es/cdu8502qasv 
243,new techfar hub offers expertise on it acqusition http://fedtim.es/e9wc502qszq 
244,white house issues cyber response policy [developing] http://fedtim.es/hidc502oq6z 
245,white house issues policy for coordinating cyber response http://fedtim.es/cbjn502oa8w 
246,hhs offers $1.25m to get in on cyber info-sharing orgs http://fedtim.es/elhq502osdz 
247,connolly and beyer want answers on fltcip hike http://fedtim.es/crky502ms1b 
248,hhs offers $1.25m to get in on cyber info sharing orgs http://fedtim.es/1kqh502mkf3 
249,dnc email leak under fbi investigation; chair to resign http://fedtim.es/qk5s502m45j 
250,oig: gsa’s it offerings priced higher than commercial http://fedtim.es/axvu502lxnp 
251,"as the mercury rises, cobert touts telework, other heat tips http://fedtim.es/jjst502h4ug "
252,"federal times takes gold, silver and more at azbee awards with “50 years"" campaign. read more: http://fedtim.es/gw7g302wair "
253,nsf goes offline after power outage http://fedtim.es/f7e4502gd44 
254,computer exec gets 10 years for spying for russia http://fedtim.es/fzsj502gw00 
255,house oversight starts looking into hatch act compliance http://fedtim.es/phmn502emlo 
256,building up the backbone of government operations http://fedtim.es/u1nx502efqm 
257,"fbi cyberthreat assessment should be more than a 'gut check,' ig says http://fedtim.es/jhs1502eqaj "
258,house oversight continues its ‘political burrowing’ inquiries http://fedtim.es/d3xc502ejjs 
259,what’s behind the fltcip rate hike? longer lives and lower bonds http://fedtim.es/2pfq502chql 
260,18f hiring 'pause' doesn’t extend to cybersecurity positions http://fedtim.es/zhhk502cc37 
261,securing the nextgen aviation network http://fedtim.es/s7bb502c2n0 
262,"nasa loses it exec to va, gains new ciso http://fedtim.es/pikx502bv4m "
263,why aviation is considered critical infrastructure http://fedtim.es/qoq4502bnaj 
264,governors plan national cybersummit http://fedtim.es/dmrf502b3ug 
265,opm brings back wellcheck wellness program http://fedtim.es/tqpn502zwbk 
266,navy official charged after allegedly aiming gun at men during dispute http://fedtim.es/ivau502zq2x 
267,court services needs help with annual fisma audit http://fedtim.es/lmc7502zsgr 
268,"state dept, social security best places to work for hr, it http://fedtim.es/fsen502zjvf "
269,gov't watchdog: hud secretary violates hatch act http://fedtim.es/h42u502zbhx 
270,rand study finds va care equal or better than private sector http://fedtim.es/iyoq502xmv4 
271,transportation: a nation in motion http://fedtim.es/rbvg502wzij 
272,opm guidance extends veterans’ preference to vets' parents http://fedtim.es/kohb502wqvu 
273,your to-do list http://fedtim.es/wtjd502woyo 
274,lawmakers propose alternative it modernization plan http://fedtim.es/vonk502upsv 
275,napa report game plans next presidential transition http://fedtim.es/8l4b502rpnr 
276,ex-cable news pundit who claims cia career gets 3 years http://fedtim.es/3shz502rcqs 
277,16 sectors: what's in the critical infrastructure http://fedtim.es/8p43502q42x 
278,commercial facilities: a key to economic strength http://fedtim.es/awxy502pzaq 
279,tsa's neffenger promotes biometric airport screening http://fedtim.es/hxyu502pee1 
280,"encryption problem needs answers, not more debate http://fedtim.es/vqom502pvnq "
281,information technology: defending the brain behind the infrastructure http://fedtim.es/hzko502pogl 
282,chinese hacker gets 4 years in us prison http://fedtim.es/drcm502p8rz 
283,chinese government suspected of hacking into fdic computers http://fedtim.es/qna2502p1lo 
284,"government facilities: valuable data, relentless pressure http://fedtim.es/lule502ndb6 "
285,when and how to respond to cyber acts of war http://fedtim.es/8xrj502nwe6 
286,government facilities: hardening systems to protect sensitive information http://fedtim.es/trot502npbz 
287,beast of burden? agencies weigh whether to embrace pokémon go http://fedtim.es/rwhn502n9gy 
288,beast of burden? agencies weigh whether to embrace pokémon go http://fedtim.es/5k3x502n1o3 
289,house gop requests investigation of clinton over emails http://fedtim.es/l6dn502mtep 
290,white house releases plan to boost cyber workforce http://fedtim.es/w3yd502kyey 
291,7 pillars of digital government success http://fedtim.es/ws0i502kq5b 
292,house gop request investigation of clinton over emails http://fedtim.es/vddq502kh2g 
293,critical infrastructure threats and defenses evolve together http://fedtim.es/bbr6502ixi0 
294,energy: a networked system on which everything else relies http://fedtim.es/c0ro502irux 
295,energy sector: a networked system on which everything else relies http://fedtim.es/w7qn502ijwf 
296,the big picture: critical infrastructure threats and defenses evolve together http://fedtim.es/k92i502iajd 
297,energy: protecting the power grid http://fedtim.es/lki7502i2fd 
298,gsa helping dhs identify mobile security threats http://fedtim.es/qzdo502htry 
299,california man arrested on spy charges involving satellites http://fedtim.es/ze2g502hl68 
300,federal regulation makes 4.2 million employees eligible for overtime http://fedtim.es/2oyi502d1p4 
301,hhs raises interim it leader to permanent cio http://fedtim.es/c1lb502cu2h 
302,new bill lets feds use ride-sharing during safetrack http://fedtim.es/8bqg502cfy2 
303,u.s. capitol building lockdown lifted http://fedtim.es/iopy502cxv2 
304,"u.s. capitol building on lockdown, police searching for individual http://fedtim.es/s1c2502cqer "
305,tsa scolded by republican lawmakers for alleged misconduct http://fedtim.es/z3tq502b56j 
306,another accountability bill enters the va melee http://fedtim.es/ep7c502aklw 
307,commerce rebrands turkey trip as ‘cyber security mission’ http://fedtim.es/x9id502aanx 
308,contractors settle for $5.8m on bogus small business status http://fedtim.es/5ft1502ate1 
309,fbi head strongly defends outcome of clinton email probe http://fedtim.es/mbuf502algf 
310,"social security numbers, other employee info leaked in postal service cyber breach http://dlvr.it/7tmnm0 "
311,the 2015 fehb open season starts today -- do you know how to get the most out of your plan?  #fedwebcast http://bit.ly/1wl0zih 
312,. to gather more info on travelers entering the country.  http://bit.ly/1wj8lzu 
313,'dark web' markets hit in global police effort.  http://bit.ly/1xzzkxz pic.twitter.com/6x3zu3xoej
314,alliant spending grows despite budget tightening.  http://bit.ly/1utg9er 
315,dod travelers see some per diem rates cut. http://bit.ly/1qywolj 
316,the 2015 fehb open season starts tomorrow -- do you know how to get the most out of your plan?  #fedwebcast http://bit.ly/1txmlta 
317,'dark web' markets hit in global police effort.  http://bit.ly/1ajgvp4 pic.twitter.com/mpkvxyuh0u
318,not all health insurance change is by choice. #fehbp http://bit.ly/1uookbp 
319,alliant spending grows despite budget tightening.  http://bit.ly/1umaguo 
320,. to gather more info on travelers entering the country.  http://bit.ly/1srfcuh 
321,dod travelers see some per diem rates cut. http://bit.ly/1ukhkfc 
322,"the fehb program affects 8.2 million fed employees, retirees & family members. know your benefits. #fedwebcast http://bit.ly/1afga1w "
323,dr. jp 'jack' london of  prescribes charactcer-building to reverse scandal trend. http://bit.ly/1xt8sqp 
324,not all health insurance change is by choice. #fehbp http://bit.ly/1tnqgin 
325,. to gather more info on travelers entering the country.  http://bit.ly/1otrwm1 
326,'dark web' markets hit in global police effort.  http://bit.ly/1otntpu pic.twitter.com/onykkzevlw
327,dod's new cloud policy coming in two weeks http://dlvr.it/7ryhky 
328,cybersecurity codes being added to all federal job descriptions http://dlvr.it/7ry2nb 
329,alliant spending grows despite budget tightening.  http://bit.ly/1z6ri9m 
330,verizon cloud gets fedramp accreditation http://dlvr.it/7rvclk 
331,federal times editor steve watkins  will be moderating our federal health benefit #fedwebcast on 11/19 http://bit.ly/1x9moqo 
332,justice department's influence in va cases up for debate http://dlvr.it/7rrlgc 
333,dod travelers see some per diem rates cut. http://bit.ly/1xmecuc 
334,dr. jp 'jack' london of  prescribes charactcer-building to reverse scandal trend. http://bit.ly/1wb6gif 
335,not all health insurance change is by choice. #fehbp http://bit.ly/1ucxbxq 
336,"william a. breskin  vp of govt programs, to speak at our federal health benefit #fedwebcast http://bit.ly/1xdllhg "
337,alliant spending grows despite budget tightening.  http://bit.ly/1u3lf3v 
338,. to gather more info on travelers entering the country.  http://bit.ly/1x6jgzz 
339,dod travelers see some per diem rates cut. http://bit.ly/1wyyxxb 
340,dr. jp 'jack' london of  prescribes charactcer-building to reverse scandal trend. http://bit.ly/1grf9pw 
341,minor deficiencies add up to significant weaknesses at ssa http://dlvr.it/7qrgfk 
342,"walton francis, author & public program/govt regulation expert, to speak at our federal health benefit #fedwebcast http://bit.ly/10nn5f5 "
343,"after election, unions brace for attacks on pay and benefits http://dlvr.it/7qmynj "
344,alliant spending grows despite budget tightening.  http://bit.ly/1s3zpoq 
345,ig: energy department systems exposed by critical weaknesses http://dlvr.it/7qdzcj 
346,alliant spending grows despite budget tightening.  http://bit.ly/1vdkehg 
347,survey: cybersecurity priorities shift to insider threats http://dlvr.it/7pqfqd 
348,the 2015 fehb open season is 1 week away -- do you know how to get the most out of your plan?  #fedwebcast http://bit.ly/1qmcjb7 
